label,media,date,longText,major,important,gaming,drawing,collab,video
【TITANFALL 2】 Phone Home? Home Phone?,https://i3.ytimg.com/vi/QNDlPofU1Yw/maxresdefault.jpg,12/19/2020,"Your first (and last) stream of Titanfall 2! You seemed to grasp the mechanics of the game right away, because it took you just over five hours to complete!",FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=QNDlPofU1Yw
【Minecraft】 Hololive JP Server Tour with Nene and Polka!! ♥♥♥,https://i3.ytimg.com/vi/bQK1ywHTTo8/maxresdefault.jpg,12/23/2020,Your first adventure in the wild JP Minecraft server. Nene and Polka do a great job showing you around--but somehow they're fighting over you? Is this another senpai to add to the harem?,FALSE,TRUE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=bQK1ywHTTo8
Let's Make Macaron!! Takoholidays Cookie Showcase!!!,https://i3.ytimg.com/vi/0AKrsyMAaaI/maxresdefault.jpg,12/24/2020,"We were blessed with Takorons. Spending Christmas Eve with you was a blast, and Takos even show off their own creations! You even took your time to go through every submission... so sweet!",FALSE,TRUE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=0AKrsyMAaaI
【Minecraft】 HO HO HO,https://i3.ytimg.com/vi/4PAzGV2-pgc/maxresdefault.jpg,12/25/2020,"MERRY CHRISTMAS! Spending time with the Tentacult on this wonderful day is truly heartwarming, and you build the iconic Torii gate that stands strong to this day!",FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=4PAzGV2-pgc
【DRAWING】 Goodbye 2020! Last Doodle Stream of the Year!,https://i3.ytimg.com/vi/eCUflT3wpEE/maxresdefault.jpg,12/30/2020,"KIMONO INA!!! We went for a little trip down memory lane for the final doodle stream of the year. You wished for a year full of fun things, and we hope that you got what you wished for!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=eCUflT3wpEE
【Minecraft】 HNY!!!,https://i3.ytimg.com/vi/Bi0Y1pv-tg4/maxresdefault.jpg,12/31/2020,"A nice and relaxing New Year's Eve in Minecraft watching fireworks together and being raided by pillagers. Thank you for everything this year, and let's do our best in 2021 as well!",FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=Bi0Y1pv-tg4
【CHAT】 Resolutions & Goals for the New Year!!,https://i3.ytimg.com/vi/OcTUg6DHqb4/maxresdefault.jpg,1/1/2021,"HAPPY NEW YEAR! You go through your goals and resolutions for the new year, and even get to roll your first gacha of the year. Wait--you have to move your giant what...?",FALSE,TRUE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=OcTUg6DHqb4
【CHAT】 TAKOYAKI PARTY!!!!,https://i3.ytimg.com/vi/yQwSFS96F4g/maxresdefault.jpg,1/6/2021,It's a party and we're invited!  ...to be the main dish?? But later you revealed the terrible truth... it wasn't takoyaki--it was ikayaki! Hope the mess wasn't too bad after the stream~,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=yQwSFS96F4g
【TIME-LAPSE】 New Year's Greetings,https://i3.ytimg.com/vi/-Aenybcitkc/maxresdefault.jpg,1/7/2021,Your very first time-lapse video! Seeing the process from start to finish with your own tips is truly amazing. Thank you so much for sharing your knowledge with us! The completed illustration is beautiful.,TRUE,TRUE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=-Aenybcitkc
【Ring Fit Adventure】 PAIN,https://i3.ytimg.com/vi/8L3ugw6yg4o/maxresdefault.jpg,1/8/2021,Your very first RFA stream! The pain and suffering is worth it if you want to increase your stamina so that you can draw even more!,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=8L3ugw6yg4o
