,,,,,MileStone,Uni's Favorite Moment,Scrapbook?,Website?,Video?,
165,【MONSTER HUNTER RISE】 Not Tree-bien,Public,13/04/2021,,,,,,,Switching Monhun stream from later the week to today!
166,【DRAWING】 Nier....Far...Wherever You Are...,Public,14/04/2021,,900k Subscriber,,,,,
167,【Minecraft】 Tree-lalala,Public,15/04/2021,,,,,,,Shader: SEUS PTGI / Renewed
168,【Paper Mario: The Origami King】 It'sa ME! 【#1】,Public,17/04/2021,,,,,,,
169,【DRAWING】 Nier-ly Time!!,Public,18/04/2021,,,,,,,
170,【MONSTER HUNTER RISE】 A Shark and Tako Walk Into a Dango Shop,Public,19/04/2021,,,,,,,Streaming with [Gawr Gura]
171,【Minecraft】 Creative Title # 1039,Public,21/04/2021,,,,,,,Shader: SEUS PTGI / Renewed
172,【We Were Here Too】 Earth to Ame Earth to Ame Over,Public,22/04/2021,,,,,,,Streaming together with; [Amelia Watson]
173,【MONSTER HUNTER RISE】 TakoAki Hunting Time!!!,Public,23/04/2021,,,,,,,Streaming with [Aki Rosenthal]
174,【Q&A】 Takodachi Assemble!!!,Public,24/04/2021,,,,,,,Thank you thank you thank you!!!
175,【DRAWING】 INAFF,Public,25/04/2021,,,,,,,
176,【Paper Mario: The Origami King】 BBBBBBB 【#2】,Public,27/04/2021,,,,,,,
177,【MONSTER HUNTER RISE】 \ ( o A o ) /,Public,28/04/2021,,,,,,,DA DA DADADADADADADA DADADA DA DADADA DA
178,【NieR:Automata】 THIS CAN (NOT) CONTINUE 【#1】,Public,29/04/2021,,,,,,,
179,【NieR:Automata】 HA~I 【#2】,Public,30/04/2021,,,,,,,
180,【Minecraft】 Chilling with Reine-chan! #REINAFF,Public,01/05/2021,,,,,,,Streaming together with; [Pavolia Reine]
181,【NieR:Automata】 BECOME AS TAKO 【#3】,Public,02/05/2021,,,,,,,
182,【New Pokémon Snap】 Photakography Session!!,Public,04/05/2021,,,,,,,
183,【NEW OUTFIT REVEAL】 The Joy of Tako #fashionINAsta,Public,05/05/2021,,,,,,,Thanks for joining me on this special day!!! Now I can be a #fashionINAsta \( ' w ' )/
184,【DRAWING】 HIGH SPEED TAKO,Public,06/05/2021,,,,,,,
185,【DRAWING】 HIGH SPEED TAKO Pt. 2,Public,09/05/2021,,,,,,,
186,【Paper Mario: The Origami King】 KAMI GAME 【#3】,Public,10/05/2021,,,,,,,
187,【COLLAB】 Battle of Doot ft. Calli,Public,11/05/2021,,,,,,,Open your ears and listen up!!!!!
188,【Minecraft】 waHHHH,Public,13/05/2021,,,,,,,How to create titles I do not know
189,【New Pokémon Snap】 pikaCHUU,Public,14/05/2021,,,,,,,
190,【CHAT】 Sunday Chat Time!,Public,16/05/2021,,,,,,,
191,【Minecraft】 Alexa Play Ungravel,Public,18/05/2021,,,,,,,How to create titles I do not know
192,【BAYONETTA】 Flyyy Awayyyy Nowwww 【#1】,Public,19/05/2021,,,,,,,
193,Birthday YAY!!!! #BirthdayINA2021,Public,20/05/2021,,,,,,,"Thank you always, I'll do my best!!"
194,『VIOLET』 Teaser PV,Public,20/05/2021,,,,,,,Ninomae Ina'nis - First Original Song 『VIOLET』 - COMING SOON!
195,【CHAT】 Chatttttt Time!,Public,22/05/2021,,,,,,,
196,【D4DJ】 Beta Testing!!,Public,24/05/2021,,,,,,,CLAP YOUR HANDS
197,【DRAWING】Re:Schedule That Time I Jinxed My Stream Twice with Thumbnails,Public,26/05/2021,,,,,,,
198,【CHAT】 #WAHnMILLION YAKISOBAAAaaaa,Public,27/05/2021,,Wahnmillion,,,,,
199,【BAYONETTA】 Flyyy Me To the MOOOON 【#2】,Public,31/05/2021,,,,,,,
200,【BAYONETTA】 Oh My 【#3】,Public,02/06/2021,,,,,,,
201,【Miitopia】 Making Mii-ni HoloEN!!!,Public,03/06/2021,,,,,,,
202,【WATCHALONG】 Cats (2019) with Kiara!!,Public,04/06/2021,,,,,,,
203,【Minecraft】 MEOW/10,Public,05/06/2021,,,,,,,
204,【DRAWING】 Inacademy feet. Hands,Public,06/06/2021,,,,,,,Follow along using this website! https://pose-trainer.com
205,【BAYONETTA】 LEGS 【#4】,Public,07/06/2021,,,,,,,
206,【MONSTER HUNTER RISE】 Been A While Marshmallow,Public,08/06/2021,,,,,,,DA DA DADADADADADADA DADADA DA DADADA DA
207,【COLLAB】 Playing games with Pikamee!!!,Public,10/06/2021,,,,,,,Streaming together with Pikamee!
208,【Miitopia】 One...More...Mii....,Public,11/06/2021,,,,,,,
209,【MONSTER HUNTER RISE】 Hunting with Senpais....DOKI #HOLOMH,Public,12/06/2021,,,,,,,Streaming together with: [Roboco] [Shirakami Fubuki] [Yukihana Lamy]
210,【DRAWING】 The Name is Yuul B. Alwright,Public,14/06/2021,,,,,,,
211,【TTRPG】 Meet Yuul B. Alwright TUTORIAL EDITION,Public,15/06/2021,,,,,,,
212,「DAL ITEMS Vol.1」DRAW A LOT×初音ミク Art by Ninomae Ina’nis(hololive EN) Supported by Wacom/CLIP STUDIO,Public,16/06/2021,,,,,,,Thank you Wacom and CLIP STUDIO!! Check out more about the project here! (in Japanese) https://lp.cheerz.cz/cheer/dal-vol1.html 
213,「DAL ITEMS Vol.1」DRAW A LOT×初音ミク Art by Ninomae Ina’nis Supported by Wacom/CLIP STUDIO Pt.2,Public,17/06/2021,,,,,,,Thank you Wacom and CLIP STUDIO!! Check out more about the project here! (in Japanese) https://lp.cheerz.cz/cheer/dal-vol1.html 
214,【NIGHT DELIVERY】 Your TakoEats Courier is On Their Way,Public,21/06/2021,,,,,,,
215,【THE WONDERFUL 101】 TAKODACHIS.....Assemble?,Public,23/06/2021,,,,,,,
216,【Phantasy Star Online 2 New Genesis】 New Game New Tako!,Public,24/06/2021,,,,,,,Sponsored by Sega! Play Phantasy Star Online 2 New Genesis for FREE! https://ngs.pso2.com/
217,【THE WONDERFUL 101】 WAH-nderful!!! 【#2】,Public,25/06/2021,,,,,,,
218,【Minecraft】 Usaken Summer Festival with Lamy chan~!!,Public,27/06/2021,,,,,,,Lamy~! 💗
219,【DRAWING】 Drawing New Member Emotes!!,Public,28/06/2021,,,,,,,
220,【Minecraft】 INA Search for INAspiration,Public,29/06/2021,,,,,,,
221,【THE WONDERFUL 101】 INA INA BEAMMMM 【#3】,Public,30/06/2021,,,,,,,
222,【Minecraft】 The Adventure is Out There!!!,Public,03/07/2021,,,,,,,Thumbnail Art is by Decrilus! ( https://twitter.com/decrilus )
223,【Phantasy Star Online 2 New Genesis】 Dailies and....Towers?,Public,05/07/2021,,,,,,,
224,【Minecraft】 UPRP UPRP,Public,08/07/2021,,,,,,,Thumbnail Art is by Resty! ( https://twitter.com/RestyMMD )
,,,,,,,,,,WAH
,,,,,,,,,,
,,,,,,,,,,Sometimes I pretend I know what I'm doing yeh and by sometimes I mean most of the times
,,,,,,,,,,WAH
